fplId,webName,position,team_fpl_id,team,nowCost,status,chanceOfPlayingNextRound,news,newsAddedAt,removed,form,pointsPerGame,epNext,epThis,expectedGoalsPer90,expectedAssistsPer90,expectedGoalsConcededPer90,defensiveContributionPer90,savesPer90,startsPer90,penaltiesOrder,directFreekicksOrder,cornersOrder,seasonMinutes,seasonStarts,updatedAt
33,Mings,DEF,2,AVL,45,a,,,,f,1.00,1.00,1.70,1.70,0.00,0.00,1.24,5.62,0.00,0.000,,,,16,0,2026-08-26 14:15:00.788
34,Pau,DEF,2,AVL,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,4.38,6.16,0.00,1.230,,,,73,1,2026-08-26 14:15:00.789
35,Bogarde,MID,2,AVL,50,a,,,,f,1.00,1.00,1.50,1.50,0.00,0.00,1.24,5.62,0.00,0.000,,,,16,0,2026-08-26 14:15:00.792
36,Maatsen,DEF,2,AVL,45,a,,,,f,0.00,0.00,1.70,1.70,0.03,0.00,4.02,10.00,0.00,1.110,,,,81,1,2026-08-26 14:15:00.793
37,Lindelöf,DEF,2,AVL,45,a,,,,f,-2.00,-2.00,1.70,1.70,0.00,0.00,3.77,3.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.796
38,A.García,DEF,2,AVL,40,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.797
39,Nedeljkovic,DEF,2,AVL,40,u,0,Has joined Rangers on loan for the rest of the season,2026-08-19 13:56:46.385,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.798
40,Rogers,MID,6,CHE,75,a,,,,f,8.00,8.00,2.60,2.60,1.07,0.11,1.38,7.78,0.00,1.110,,,4,81,1,2026-08-26 14:15:00.908
41,Buendía,MID,2,AVL,60,a,,,,f,2.00,2.00,2.20,2.20,0.14,0.10,3.83,7.41,0.00,1.060,1,1,3,85,1,2026-08-26 14:15:00.799
42,Guessand,MID,8,CRY,55,a,,,,f,1.00,1.00,2.00,2.00,0.10,0.07,0.47,3.33,0.00,0.000,,,,27,0,2026-08-26 14:15:01.194
43,Tielemans,MID,16,MUN,60,a,100,,2026-07-23 12:01:23.321,f,2.00,2.00,2.20,2.20,0.05,0.15,1.28,6.82,0.00,1.360,3,,,66,1,2026-08-26 14:15:01.576
44,Bailey,MID,2,AVL,55,a,,,,f,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.8
45,McGinn,MID,2,AVL,55,a,,,,f,1.00,1.00,2.00,2.00,0.04,0.01,4.02,6.67,0.00,1.110,,,2,81,1,2026-08-26 14:15:00.801
46,Barkley,MID,2,AVL,50,a,,,,f,2.00,2.00,1.50,1.50,0.12,0.02,4.38,1.23,0.00,1.230,,,4,73,1,2026-08-26 14:15:00.801
47,Kamara,MID,2,AVL,50,a,100,,2026-07-23 12:01:23.337,f,2.00,2.00,1.50,1.50,0.00,0.00,3.77,7.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.802
48,Onana,MID,2,AVL,50,i,0,Knee injury - Unknown return date,2026-07-23 12:01:23.352,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.803
49,Iling Jr,MID,2,AVL,50,u,0,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17 13:52:28.532,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.804
50,Burrowes,MID,2,AVL,45,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.805
51,George Hemmings,MID,2,AVL,45,a,,,,f,2.00,2.00,1.00,1.00,0.00,0.00,3.77,5.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.807
52,Alysson,MID,2,AVL,50,a,,,,f,1.00,1.00,1.50,1.50,0.00,0.00,1.58,33.75,0.00,0.000,,,,8,0,2026-08-26 14:15:00.808
53,Manzambi,MID,2,AVL,60,i,0,Knee injury - Unknown return date,2026-08-15 15:30:06.388,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.809
54,Gomes,MID,2,AVL,55,s,0,Suspended until 19 Sep,2026-08-23 17:30:08.367,f,-2.00,-2.00,0.00,0.00,0.00,0.02,5.95,16.15,0.00,2.310,,,,39,1,2026-08-26 14:15:00.81
55,Watkins,FWD,2,AVL,80,a,,,,f,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.000,2,,,0,0,2026-08-26 14:15:00.811
56,Abraham,FWD,2,AVL,55,d,75,Knock - 75% chance of playing,2026-08-15 16:00:07.558,f,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.811
57,Petrović,GKP,3,BOU,45,a,,,,f,2.00,2.00,1.90,1.90,0.00,0.00,2.25,0.00,4.00,1.000,,,,90,1,2026-08-26 14:15:00.817
58,Forster,GKP,3,BOU,40,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.818
59,Dennis,GKP,3,BOU,40,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.819
60,Hill,DEF,3,BOU,55,a,,,,f,1.00,1.00,2.50,2.50,0.00,0.00,2.25,6.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.819
61,Truffert,DEF,3,BOU,55,a,,,,f,1.00,1.00,2.50,2.50,0.00,0.00,2.25,7.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.82
62,Diakité,DEF,3,BOU,50,a,,,,f,0.00,0.00,2.20,2.20,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.821
63,Milosavljević,DEF,3,BOU,50,i,0,Unspecified injury - Unknown return date,2026-08-06 10:00:10.456,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.822
64,Smith,DEF,3,BOU,45,a,,,,f,1.00,1.00,1.70,1.70,0.00,0.00,2.25,5.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.823
65,J.Araujo,DEF,3,BOU,45,i,0,Thigh injury - Unknown return date,2026-08-09 08:00:05.645,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.824
66,Soler,DEF,3,BOU,40,d,75,Hamstring injury - 75% chance of playing,2026-08-15 16:30:07.021,f,0.00,0.00,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.824
67,Rayan,MID,3,BOU,65,a,,,,f,2.00,2.00,2.30,2.30,0.04,0.03,2.11,1.02,0.00,1.020,,,,88,1,2026-08-26 14:15:00.825
68,Tavernier,MID,3,BOU,60,a,,,,f,10.00,10.00,2.20,2.20,0.40,0.08,2.25,8.00,0.00,1.000,3,1,1,90,1,2026-08-26 14:15:00.827
69,Scott,MID,3,BOU,60,a,,,,f,2.00,2.00,2.20,2.20,0.00,0.01,2.25,11.00,0.00,1.000,,4,2,90,1,2026-08-26 14:15:00.828
70,Kluivert,MID,3,BOU,60,a,,,,f,3.00,3.00,2.20,2.20,0.13,0.00,2.36,10.95,0.00,1.220,2,2,3,74,1,2026-08-26 14:15:00.829
71,Cook,MID,3,BOU,50,a,,,,f,3.00,3.00,1.50,1.50,0.00,0.00,2.33,8.40,0.00,1.200,,,5,75,1,2026-08-26 14:15:00.83
72,Gannon-Doak,MID,3,BOU,50,a,,,,f,1.00,1.00,1.50,1.50,0.00,0.00,17.10,90.00,0.00,0.000,,,,1,0,2026-08-26 14:15:00.832
73,Adams,MID,3,BOU,50,a,100,,2026-08-15 16:30:07.029,f,1.00,1.00,1.50,1.10,0.00,0.00,1.86,18.00,0.00,0.000,,,,15,0,2026-08-26 14:15:00.833
